1	Doc_1.txt	51	1	L
10	Doc_10.txt	51	1	L
100	Doc_100.txt	51	2	L
1000	Doc_1000.txt	54	1	L
10000	Doc_10000.txt	105	1	M
10001	Doc_10001.txt	105	2	M
10002	Doc_10002.txt	105	2	M
10003	Doc_10003.txt	105	1	M
10004	Doc_10004.txt	105	1	M
10005	Doc_10005.txt	105	1	M
10006	Doc_10006.txt	105	1	M
10007	Doc_10007.txt	105	2	M
10008	Doc_10008.txt	105	2	M
10009	Doc_10009.txt	105	1	M
1001	Doc_1001.txt	54	1	L
10010	Doc_10010.txt	105	2	M
10011	Doc_10011.txt	105	1	M
10012	Doc_10012.txt	105	1	M
10013	Doc_10013.txt	105	1	M
10014	Doc_10014.txt	105	1	M
10015	Doc_10015.txt	105	1	M
10016	Doc_10016.txt	105	1	M
10017	Doc_10017.txt	105	1	M
10018	Doc_10018.txt	105	2	M
10019	Doc_10019.txt	105	1	M
1002	Doc_1002.txt	54	1	L
10020	Doc_10020.txt	105	1	M
10021	Doc_10021.txt	105	1	M
10022	Doc_10022.txt	105	1	M
10023	Doc_10023.txt	105	1	M
10024	Doc_10024.txt	105	1	M
10025	Doc_10025.txt	105	1	M
10026	Doc_10026.txt	105	1	M
10027	Doc_10027.txt	105	2	M
10028	Doc_10028.txt	105	2	M
10029	Doc_10029.txt	105	1	M
1003	Doc_1003.txt	54	1	L
10030	Doc_10030.txt	105	1	M
10031	Doc_10031.txt	105	2	M
10032	Doc_10032.txt	105	1	M
10033	Doc_10033.txt	105	1	M
10034	Doc_10034.txt	105	1	M
10035	Doc_10035.txt	105	1	M
10036	Doc_10036.txt	105	1	M
10037	Doc_10037.txt	105	1	M
10038	Doc_10038.txt	105	1	M
10039	Doc_10039.txt	105	1	M
1004	Doc_1004.txt	54	1	L
10040	Doc_10040.txt	105	2	M
10041	Doc_10041.txt	106	1	M
10042	Doc_10042.txt	106	1	M
10043	Doc_10043.txt	106	1	M
10044	Doc_10044.txt	106	1	M
