DecisionToInclude,docLen,SentLen,SentAVG,TF,IDF
0,320,44,0.14,0.11,12.22
0,320,88,0.28,0.16,30.49
1,320,100,0.31,0.19,33.25
1,320,6,0.02,0.05,1.99
1,380,28,0.07,0.05,9.45
1,380,36,0.09,0.1,9.95
1,380,31,0.08,0.15,8.51
1,380,25,0.07,0.07,5.83
0,380,59,0.16,0.13,17.47
0,380,64,0.17,0.56,17.17
1,380,41,0.11,0.06,14.6
0,380,46,0.12,0.16,13.39
1,380,52,0.14,0.37,14.64
1,380,56,0.15,0.26,14.52
1,380,42,0.11,0.07,15.48
0,380,17,0.04,0.14,4.42
1,380,69,0.18,0.1,21.87
0,380,24,0.06,0.24,7.78
0,380,67,0.18,0.1,19.01
1,380,25,0.07,0.15,8.38
0,380,55,0.14,0.1,14.92
0,380,44,0.12,0.16,13.66
0,380,44,0.12,0.16,15.48
0,380,34,0.09,0.14,12.57
0,380,22,0.06,0.05,7.7
0,380,23,0.06,0.05,6.03
0,380,77,0.2,0.08,25.12
1,380,107,0.28,0.09,33.63
1,380,32,0.08,0.08,9.19
0,380,72,0.19,0.07,25.67
1,380,36,0.09,0.15,10.77
1,380,31,0.08,0.09,7.97
0,380,84,0.22,0.69,29.79
1,380,40,0.11,0.16,18.94
0,380,105,0.28,0.92,28.38
0,380,62,0.16,0.12,24.17
0,380,13,0.03,0.05,2.98
0,380,33,0.09,0.05,12.38
0,380,103,0.27,0.15,36.28
0,380,90,0.24,0.19,32.03
0,380,71,0.19,0.09,25.57
0,380,44,0.12,0.15,15.52
0,380,61,0.16,0.18,20.81
0,380,37,0.1,0.08,13.8
1,380,40,0.11,0.07,11.49
1,380,58,0.15,0.29,14.52
1,380,34,0.09,0.06,11.2
0,380,54,0.14,0.06,20.8
0,380,43,0.11,0.06,17.05
0,380,19,0.05,0.15,6.5
0,380,57,0.15,0.09,21.54
0,380,35,0.09,0.15,12.81
0,380,47,0.12,0.16,17.52
1,380,14,0.04,0.05,6.32
1,380,27,0.07,0.05,8.8
1,380,58,0.15,0.16,17.51
1,380,34,0.09,0.17,11.57
1,380,24,0.06,0.05,6.6
1,380,33,0.09,0.05,11.69
0,380,28,0.07,0.14,10.08
1,380,29,0.08,0.07,10.44
1,380,22,0.06,0.07,5.86
1,380,24,0.06,0.07,9.41
0,380,105,0.28,0.38,35.06
